pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,random_trial.started,Fixation_2.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation_2.stopped,Probe_2.started,Key_Resp.started,random_trial.stopped,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.02379010000731796,,0.01302930002566427,0.02379010000731796,1.0089689000160433,1.0089689000160433,1.0089689000160433,1.0089689000160433,1.0259091000189073,2.0081151999766007,2.0081151999766007,3.350576800003182,x,1,1.3148518999805674,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,0,1,1,1,,,,,3.3735324000008404,,3.3551027000066824,3.3735324000008404,4.3587356000207365,4.3587356000207365,4.3587356000207365,4.3587356000207365,4.3753883999888785,5.358135999995284,5.358135999995284,6.810467700008303,v,1,1.4404074999620207,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,0,2,2,2,,,,,6.825362499977928,,6.812530600000173,6.825362499977928,7.825764200009871,7.825764200009871,7.825764200009871,7.825764200009871,7.825764200009871,8.825588600011542,8.825588600011542,11.045793899975251,c,1,2.2042700000456534,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,0,3,3,3,,,,,11.059656500001438,,11.047877600009087,11.059656500001438,12.059859399974812,12.059859399974812,12.059859399974812,12.059859399974812,12.059859399974812,13.060098099987954,13.060098099987954,14.07805399998324,z,1,1.0124269000370987,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,1,0,4,0,,,,,14.093410399975255,,14.079825000022538,14.093410399975255,15.094665199983865,15.094665199983865,15.094665199983865,15.094665199983865,15.111789199989289,16.091686700005084,16.091686700005084,16.94399409997277,x,1,0.8477023000014015,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,1,1,5,1,,,,,16.95874009997351,,16.946058599976823,16.95874009997351,17.95866850001039,17.95866850001039,17.95866850001039,17.95866850001039,17.95866850001039,18.958116299996618,18.958116299996618,20.37648660002742,v,1,1.406967299990356,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,1,2,6,2,,,,,20.391869199986104,,20.378491599985864,20.391869199986104,21.392232800018974,21.392232800018974,21.392232800018974,21.392232800018974,21.392232800018974,22.391410499985795,22.391410499985795,23.893728800001554,c,1,1.490202600019984,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,1,3,7,3,,,,,23.9085907000117,,23.89555770001607,23.9085907000117,24.908684300025925,24.908684300025925,24.908684300025925,24.908684300025925,24.908684300025925,25.90836090000812,25.90836090000812,27.11049799999455,z,1,1.1948410999611951,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,2,0,8,0,,,,,27.12478449998889,,27.11243179999292,27.12478449998889,28.12567310000304,28.12567310000304,28.12567310000304,28.12567310000304,28.12567310000304,29.125298200000543,29.125298200000543,30.910139599989634,x,1,1.7803805999574251,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,2,1,9,1,,,,,30.924790600023698,,30.911849799973425,30.924790600023698,31.926125700003468,31.926125700003468,31.926125700003468,31.926125700003468,31.926125700003468,32.92495740001323,32.92495740001323,34.51105789997382,v,1,1.583496399980504,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
